Frame,Red channel,Green channel,Blue Channel,Red_back,Green_back,Blue_back,Pressure
frame0,157.76497695852535,157.19354838709677,145.74193548387098,213.49308755760367,212.2073732718894,209.5115207373272,-0.053015918
frame1,157.1336405529954,157.16129032258064,145.52534562211983,216.49308755760367,214.89861751152074,212.71428571428572,-0.049650878
frame2,158.0921658986175,157.33179723502303,146.10138248847926,217.0737327,215.44239631336404,213.31336405529953,-0.049465239
frame3,157.40552995391704,157.1705069124424,145.18433179723502,216.76036866359448,215.1336405529954,212.95391705069125,-0.047542781
frame4,158.06912442396313,157.53917050691246,145.5668202764977,217.7004608294931,216.06451612903226,213.96774193548387,-0.047846198
frame5,157.93548387096774,157.41935483870967,145.27649769585253,216.76036866359448,215.1336405529954,212.95391705069125,-0.046532124
frame6,158.1705069124424,157.49308755760367,145.3732718894009,232.05069124423963,231.07834101382488,229.89400921658986,-0.038054138
frame7,157.1152073732719,157.3548387096774,145.0737327,229.0368664,227.93548387096774,226.61290322580646,-0.037511915
frame8,157.27188940092165,157.4884792626728,145.35023041474653,232.02304147465438,231.07834101382488,229.89400921658986,-0.035606891
frame9,157.02304147465438,157.2626728110599,144.9815668202765,229.0368664,227.93548387096774,226.61290322580646,-0.035454571
frame10,157.27188940092165,157.4884792626728,145.35023041474653,232.02304147465438,231.07834101382488,229.89400921658986,-0.034316778
frame11,157.48387096774192,157.2073732718894,145.0552995391705,226.59447004608296,225.3917050691244,223.73271889400922,-0.032646388
frame12,157.4700460829493,157.40552995391704,145.27649769585253,230.0552995391705,228.99078341013825,227.84331797235023,-0.029265165
frame13,157.34562211981566,157.26728110599078,145.1105991,226.59447004608296,225.3917050691244,224.0921658986175,-0.027780473
frame14,157.57603686635946,157.5115207373272,145.38248847926266,229.73271889400922,228.66820276497697,227.52073732718895,-0.024991095
frame15,157.52073732718895,157.44239631336404,145.28571428571428,226.34562211981566,225.72350230414747,224.06451612903226,-0.023256809
frame16,157.61290322580646,157.5483870967742,145.41935483870967,229.73271889400922,228.66820276497697,227.52073732718895,-0.021693617
frame17,157.41935483870967,157.34101382488478,145.18433179723502,226.64976958525347,225.72350230414747,224.42396313364054,-0.02162385
frame18,157.55760368663596,157.55760368663596,145.33179723502303,229.3548387096774,228.47926267281105,227.33179723502303,-0.021079987
frame19,157.3548387096774,157.35023041474653,145.08294930875576,226.1336405529954,225.16129032258064,223.86175115207374,-0.021472812
frame20,157.47465437788017,157.47465437788017,145.24884792626727,229.32718894009216,228.46543778801842,227.3179723502304,-0.020936191
frame21,157.42396313364054,157.34562211981566,145.1889400921659,226.1336405529954,225.16129032258064,223.86175115207374,-0.021388531
frame22,157.61751152073734,157.55299539170508,145.42396313364054,229.32718894009216,228.46543778801842,227.3179723502304,-0.020772427
frame23,157.34101382488478,157.49769585253455,145.2626728110599,225.7741935483871,225.16129032258064,223.50230414746545,-0.021315962
frame24,157.5299539170507,157.65898617511522,145.46543778801842,229.32718894009216,228.46543778801842,226.8847926267281,-0.020693272
frame25,157.41013824884791,157.5668202764977,145.33179723502303,225.7741935483871,225.16129032258064,223.50230414746545,-0.021389753
frame26,157.5299539170507,157.65898617511522,145.46543778801842,229.32718894009216,228.46543778801842,227.3179723502304,-0.020702511
frame27,157.41013824884791,157.5668202764977,145.33179723502303,226.10138248847926,225.1290322580645,223.4700460829493,-0.021490216
frame28,157.5299539170507,157.65898617511522,145.46543778801842,229.32718894009216,228.46543778801842,226.8847926267281,-0.020850688
frame29,157.41013824884791,157.5668202764977,145.33179723502303,225.7741935483871,225.16129032258064,223.50230414746545,-0.021576792
frame30,157.4700460829493,157.59907834101384,145.40552995391704,229.32718894009216,228.46543778801842,226.8847926267281,-0.020823449
frame31,157.34101382488478,157.49769585253455,145.2626728110599,225.74193548387098,225.1290322580645,223.4700460829493,-0.021578878
frame32,157.45622119815667,157.5852534562212,145.3917050691244,229.2995391705069,228.43778801843317,226.85714285714286,-0.020936579
frame33,157.32718894009216,157.48387096774192,145.24884792626727,225.74193548387098,225.1290322580645,223.4700460829493,-0.021642506
frame34,157.45622119815667,157.5852534562212,145.3917050691244,229.2995391705069,228.43778801843317,226.85714285714286,-0.021017492
frame35,157.80645161290323,157.5299539170507,145.3778801843318,226.1336405529954,225.16129032258064,223.86175115207374,-0.021748245
frame36,157.80184331797236,157.6221198156682,145.40092165898616,229.32718894009216,228.46543778801842,227.3179723502304,-0.020640284
frame37,157.83870967741936,157.50691244239633,145.3179723502304,225.74193548387098,225.08755760368663,223.4700460829493,-0.021315724
frame38,157.9078341013825,157.6082949308756,145.4516129032258,229.06912442396313,228.5115207373272,226.9447004608295,-0.02018711
frame39,157.83870967741936,157.50691244239633,145.3179723502304,225.75115207373273,225.1152073732719,223.48387096774192,-0.020920098
frame40,157.9078341013825,157.6082949308756,145.4516129032258,229.04608294930875,228.4884792626728,226.92165898617512,-0.019919097
frame41,157.87557603686636,157.50691244239633,145.3179723502304,225.7373271889401,225.07834101382488,223.45622119815667,-0.020766824
frame42,157.9447004608295,157.6082949308756,145.4516129032258,228.78801843317973,227.9262673,226.6451612903226,-0.01984936
frame43,157.87557603686636,157.50691244239633,145.3179723502304,225.46082949308754,224.49308755760367,223.10599078341014,-0.020729572
frame44,157.9447004608295,157.6082949308756,145.4516129032258,228.5483870967742,227.68663594470047,226.61290322580646,-0.019738615
frame45,157.88018433179724,157.51612903225808,145.32258064516128,224.80184331797236,224.14285714285714,222.47926267281105,-0.020760357
frame46,157.9447004608295,157.6082949308756,145.4516129032258,228.1889400921659,227.61290322580646,226.02304147465438,-0.019583225
frame47,157.97695852534562,157.32718894009216,145.1705069124424,227.72350230414747,227.0737327,224.4884792626728,-0.019658715
frame48,157.7557603686636,157.3778801843318,145.24884792626727,231.0921658986175,230.51612903225808,228.42857142857142,-0.019136399
frame49,157.8663594470046,157.43778801843317,145.41013824884791,227.72350230414747,227.0737327,224.4884792626728,-0.02045247
frame50,157.98617511520737,157.55299539170508,145.53456221198158,231.0921658986175,230.51612903225808,227.99078341013825,-0.019745618
frame51,157.8663594470046,157.43778801843317,145.41013824884791,227.72350230414747,227.0737327,224.4884792626728,-0.020555586
frame52,157.85714285714286,157.47926267281105,145.35023041474653,231.0921658986175,230.51612903225808,227.99078341013825,-0.019851029
frame53,157.71428571428572,157.35944700460828,144.98617511520737,227.68663594470047,227.02764976958525,224.46082949308754,-0.020671546
frame54,157.8479262672811,157.4700460829493,145.34101382488478,231.05990783410138,230.46543778801842,227.95852534562212,-0.020156324
frame55,157.70506912442397,157.35023041474653,145.17511520737327,227.11981566820276,226.46082949308754,223.89400921658986,-0.020852059
frame56,157.8479262672811,157.4700460829493,145.34101382488478,230.53917050691246,229.95852534562212,227.4516129032258,-0.020104289
frame57,157.70506912442397,157.35023041474653,144.64976958525347,227.11981566820276,226.46082949308754,223.89400921658986,-0.020765305
frame58,157.8479262672811,157.4700460829493,145.34101382488478,230.53917050691246,229.95852534562212,227.4516129032258,-0.020093113
frame59,158.01382488479263,157.36405529953916,144.2073732718894,227.0368664,226.40552995391704,223.83870967741936,-0.020794243
frame60,158.07834101382488,157.50691244239633,144.15668202764977,230.4700460829493,229.92165898617512,227.4147465437788,-0.020337522
frame61,158.16129032258064,157.47465437788017,144.16129032258064,227.0368664,226.40552995391704,223.83870967741936,-0.02047044
frame62,158.32258064516128,157.5852534562212,144.32718894009216,230.4516129032258,229.90322580645162,227.3963133640553,-0.019540876
frame63,158.16129032258064,157.47465437788017,144.16129032258064,227.0184331797235,226.38709677419354,223.82027649769586,-0.019674867
frame64,158.32258064516128,157.5852534562212,145.32718894009216,230.4516129032258,229.90322580645162,227.3963133640553,-0.018451661
frame65,158.11981566820276,157.4331797235023,145.11981566820276,227.0368664,226.38709677419354,223.82027649769586,-0.019127339
frame66,157.97695852534562,157.53917050691246,144.85253456221199,218.9078341013825,218.1290322580645,215.9631336,-0.022131741
frame67,157.84331797235023,157.40552995391704,144.7373271889401,217.79723502304148,217.01382488479263,214.64055299539172,-0.022133529
frame68,158.04608294930875,157.51612903225808,144.95852534562212,218.9447004608295,218.14746543778801,215.9815668202765,-0.021755755
frame69,157.84331797235023,157.40552995391704,144.7373271889401,217.84331797235023,217.03225806451613,214.87557603686636,-0.021744847
frame70,157.61751152073734,157.51612903225808,144.49769585253455,219.67741935483872,218.89400921658986,217.4884792626728,-0.02059266
frame71,157.30875576036865,157.27649769585253,144.74193548387098,208.95852534562212,207.98617511520737,204.95852534562212,-0.026073933
frame72,157.44239631336404,157.40552995391704,144.9447004608295,209.91705069124424,208.93087557603687,206.3732718894009,-0.026131809
frame73,157.30875576036865,157.27649769585253,144.74193548387098,209.02304147465438,208.07834101382488,205.40092165898616,-0.026059151
frame74,157.10138248847926,157.25806451612902,144.50691244239633,210.94930875576037,209.49308755760367,207.4331797235023,-0.024994999
frame75,155.9262673,156.08294930875576,143.23041474654377,210.38248847926266,209.05069124423963,206.40092165898616,-0.022699177
frame76,155.0552995391705,155.12442396313364,142.38709677419354,211.85714285714286,210.41935483870967,208.3917050691244,-0.020097375
frame77,153.8663594470046,153.8847926267281,141.1152073732719,210.94930875576037,209.6267281105991,207.57142857142858,-0.019072473
frame78,152.63133640552996,152.8847926267281,140.10138248847926,212.40552995391704,210.5115207373272,208.48387096774192,-0.020964205
frame79,150.8479262672811,151.1105991,138.2258064516129,216.8110599078341,214.91244239631337,212.88018433179724,-0.04410392
frame80,149.64976958525347,150.00460829493088,137.25806451612902,217.79723502304148,215.85714285714286,213.86175115207374,-0.089372545
frame81,148.3364055299539,148.70967741935485,135.86175115207374,217.78801843317973,215.88018433179724,213.8663594470046,-0.137984812
frame82,147.52534562211983,147.88018433179724,135.1336405529954,218.82488479262673,216.9078341013825,214.89861751152074,-0.137152076
frame83,146.27188940092165,146.2442396313364,133.46543778801842,231.9078341013825,231.25806451612902,229.36405529953916,0.002354175
frame568,158.84331797235023,159.1889400921659,146.89861751152074,210.51612903225808,208.30414746543778,207.27188940092165,-0.02956751
frame569,158.94009216589862,159.19354838709677,146.8110599078341,210.7926267281106,209.4331797235023,208.04608294930875,-0.029506087
frame570,158.78801843317973,159.13824884792626,146.8709677419355,215.99078341013825,213.44700460829492,212.43778801843317,-0.028181821
