Frame,Red channel,Green channel,Blue Channel,Red_back,Green_back,Blue_back,Pressure
frame0,154.09727626459144,156.00389105058366,150.00389105058366,209.21960784313725,208.7450980392157,208.27058823529413,-0.040848881006240845
frame1,153.78599221789884,155.70038910505838,149.70038910505838,208.22745098039215,207.84313725490196,207.45882352941177,-0.040676623582839966
frame2,154.14785992217898,156.1011673151751,150.1011673151751,207.66666666666666,207.33333333333334,207.0,-0.03649851679801941
frame3,154.16342412451363,156.11673151750972,150.11673151750972,208.22745098039215,207.84313725490196,207.45882352941177,-0.0358525812625885
frame4,154.3112840466926,156.30350194552528,150.30350194552528,208.7019607843137,208.27450980392157,207.8470588235294,-0.03553289175033569
frame5,154.24513618677042,156.2295719844358,150.2295719844358,209.478431372549,208.98039215686273,208.48235294117646,-0.03325656056404114
frame6,154.23346303501947,156.22568093385215,150.22568093385215,209.29019607843136,208.8392156862745,208.45882352941177,-0.029939204454421997
frame7,154.14396887159532,156.14396887159532,150.14396887159532,209.57647058823528,209.07450980392156,208.5843137254902,-0.026545792818069458
frame8,154.23346303501947,156.22568093385215,150.22568093385215,209.29019607843136,208.8392156862745,208.45882352941177,-0.023157864809036255
frame9,154.14396887159532,156.14396887159532,150.14396887159532,209.57647058823528,209.07450980392156,208.5843137254902,-0.0201987624168396
frame10,154.23346303501947,156.22568093385215,150.22568093385215,209.29019607843136,208.8392156862745,208.45882352941177,-0.01762092113494873
frame11,154.75486381322958,156.66536964980546,149.57976653696497,206.65098039215687,205.65490196078431,205.49803921568628,-0.014724969863891602
frame12,155.12062256809338,157.18677042801556,150.13229571984436,206.86666666666667,205.89019607843136,205.75294117647059,-0.009929805994033813
frame13,155.06225680933852,157.17509727626458,150.13229571984436,206.65098039215687,205.65490196078431,205.49803921568628,-0.007464170455932617
frame14,155.19844357976655,157.3385214007782,150.28015564202335,206.86666666666667,205.89019607843136,205.86666666666667,-0.00620877742767334
frame15,155.06225680933852,157.22178988326849,150.13229571984436,206.65098039215687,205.65490196078431,205.49803921568628,-0.005569756031036377
frame16,155.19844357976655,157.3385214007782,150.28015564202335,206.86666666666667,205.89019607843136,205.75294117647059,-0.005054891109466553
frame17,155.06225680933852,157.1945525291829,150.13229571984436,206.65098039215687,205.65490196078431,205.49803921568628,-0.004922211170196533
frame18,155.19844357976655,156.44747081712063,150.28015564202335,206.00392156862745,205.86666666666667,205.75294117647059,-0.005714774131774902
frame19,154.99610894941634,156.60311284046693,150.06614785992218,205.8078431372549,205.65098039215687,205.49803921568628,-0.006630450487136841
