Frame,Red channel,Green channel,Blue Channel,Red_back,Green_back,Blue_back,Pressure
frame0,162.62767379679144,152.87366310160428,149.25066844919786,228.02742474916388,249.05484949832777,255.0,-0.04948738217353821
frame1,162.59826203208556,152.6316844919786,148.94385026737967,228.0,249.0,255.0,-0.054621994495391846
frame2,162.79144385026737,153.29545454545453,149.24866310160428,227.0,247.0,255.0,-0.05028840899467468
frame3,162.95855614973263,153.4792780748663,149.40441176470588,226.0,246.0,255.0,-0.04649081826210022
frame4,163.0855614973262,153.60227272727272,149.51604278074868,226.0,246.0,255.0,-0.04229852557182312
frame5,163.36764705882354,154.51604278074868,150.37967914438502,225.0,245.0,255.0,-0.02690926194190979
frame6,163.04946524064172,154.1691176470588,150.07419786096256,225.0,245.0,255.0,-0.02128535509109497
frame7,162.8048128342246,153.93716577540107,149.61096256684493,224.0,245.0,255.0,-0.02087301015853882
frame8,163.22994652406416,154.31216577540107,149.8475935828877,226.0,246.0,255.0,-0.0169428288936615
frame9,164.17580213903744,155.28676470588235,150.97994652406416,227.0,248.0,255.0,-0.00691714882850647
frame10,168.1524064171123,159.37098930481284,156.30080213903744,229.0,250.0,255.0,-0.006745815277099609
frame11,174.79010695187165,167.69585561497325,166.44385026737967,228.0,249.0,255.0,-0.020321547985076904
frame12,172.24131016042782,165.0581550802139,164.5374331550802,223.0,243.0,255.0,-0.02596229314804077
frame13,165.73529411764707,158.09491978609626,156.45053475935828,221.0046822742475,241.00535117056856,255.0,-0.021237611770629883
frame14,157.20521390374333,149.0808823529412,146.15173796791444,224.08428093645486,245.1685618729097,255.0,-0.04228925704956055
frame15,148.25534759358288,139.38770053475935,135.35561497326202,225.0,246.0,255.0,-0.059437960386276245
frame16,141.85294117647058,129.9385026737968,121.80882352941177,226.0,249.0,255.0,-0.05798649787902832
frame17,133.00735294117646,119.71657754010695,108.58021390374331,222.80200668896322,243.22541806020067,252.4581939799331,-0.05309927463531494
frame18,154.6403743315508,145.26069518716577,143.84826203208556,225.79397993311036,242.69765886287627,255.0,-0.06062278151512146
frame19,163.44451871657753,154.10160427807486,153.17446524064172,227.0,244.19933110367893,255.0,-0.045062512159347534
frame20,170.69050802139037,162.18114973262033,161.6818181818182,229.0,247.8963210702341,255.0,-0.0593034029006958
frame21,176.42179144385025,168.50133689839572,169.81617647058823,231.0,249.885618729097,255.0,-0.0629149079322815
frame22,172.66711229946523,164.77139037433156,163.46323529411765,232.8494983277592,247.05351170568562,255.0,-0.06153038144111633
frame23,170.41176470588235,162.64505347593584,160.7874331550802,232.08026755852842,244.36120401337791,254.685618729097,-0.05820059776306152
frame24,169.649064171123,161.51871657754012,159.10628342245988,231.12976588628763,239.27090301003344,253.27558528428094,-0.054886072874069214
frame25,170.69919786096256,162.2399732620321,160.2159090909091,231.39933110367892,242.5284280936455,253.0401337792642,-0.05432799458503723
frame26,169.6898395721925,161.1042780748663,158.86697860962568,225.73846153846154,235.51571906354516,248.6896321070234,-0.053309231996536255
frame27,169.22794117647058,160.4933155080214,158.22526737967914,229.8515050167224,239.20133779264214,252.87290969899666,-0.0507032573223114
frame28,169.68917112299465,160.8903743315508,159.28008021390374,227.1933110367893,237.51371237458193,253.8923076923077,-0.05074593424797058
frame29,169.14371657754012,160.12433155080214,157.95989304812835,228.26622073578596,240.94515050167223,252.41404682274248,-0.04724505543708801
frame30,168.38034759358288,159.49131016042782,157.3135026737968,229.43411371237457,242.07692307692307,252.34515050167224,-0.04376229643821716
frame31,168.2292780748663,159.26938502673798,156.9264705882353,228.76254180602007,241.66622073578594,254.94448160535117,-0.04147571325302124
frame32,168.38101604278074,159.22192513368984,157.05949197860963,231.18127090301005,245.16387959866222,254.7839464882943,-0.0391353964805603
frame33,169.09692513368984,160.54745989304814,157.37098930481284,228.2789297658863,242.56254180602008,254.73244147157192,-0.04342639446258545
frame34,168.94719251336898,160.32954545454547,157.19986631016042,225.62943143812709,237.79464882943145,254.70167224080268,-0.04159891605377197
frame35,169.08622994652407,160.3235294117647,157.44050802139037,226.9658862876254,240.2515050167224,253.7076923076923,-0.03880870342254639
frame36,168.82553475935828,160.0635026737968,157.22727272727272,225.1076923076923,239.50434782608696,254.85016722408028,-0.034683287143707275
frame37,168.57286096256684,159.57419786096256,156.73195187165774,225.5571906354515,240.3103678929766,253.80869565217392,-0.025855422019958496
frame38,168.94117647058823,159.79344919786095,156.9077540106952,225.61939799331103,241.48896321070234,254.23879598662208,-0.027738839387893677
frame39,168.62232620320856,159.06951871657753,156.2225935828877,224.08896321070233,239.03076923076924,254.95183946488294,-0.02576667070388794
frame40,168.76136363636363,158.95320855614975,156.5360962566845,223.4,240.9913043478261,253.58528428093646,-0.026712238788604736
frame41,168.65708556149733,158.81951871657753,155.97393048128342,225.63478260869564,247.19866220735787,252.63076923076923,-0.025758802890777588
frame42,168.1864973262032,158.47794117647058,155.92713903743316,228.0401337792642,250.80267558528428,253.66220735785953,-0.025085151195526123
frame43,168.1216577540107,158.43783422459893,155.69585561497325,229.5772575250836,253.03478260869565,254.20535117056855,-0.025536417961120605
frame44,167.92045454545453,157.94986631016042,155.08288770053477,229.5772575250836,253.03478260869565,254.20535117056855,-0.025541096925735474
frame45,167.7433155080214,157.39505347593584,155.37633689839572,228.63745819397994,253.05351170568562,254.15652173913043,-0.026827365159988403
frame46,167.74398395721926,157.34157754010695,155.18114973262033,230.0,255.0,255.0,-0.027647286653518677
frame47,168.03542780748663,157.82152406417111,155.69050802139037,230.0,255.0,255.0,-0.030494242906570435
frame48,167.88368983957218,157.77874331550802,155.39839572192514,230.0,255.0,255.0,-0.031193912029266357
frame49,167.7172459893048,157.6644385026738,155.17847593582889,230.0,255.0,255.0,-0.031472593545913696
frame50,167.88034759358288,157.75467914438502,155.29879679144386,230.0,255.0,255.0,-0.03217926621437073
frame51,167.62901069518716,157.55748663101605,154.9538770053476,230.0,255.0,255.0,-0.03192263841629028
frame52,167.71657754010695,157.65641711229947,154.86631016042782,230.0,255.0,255.0,-0.032285869121551514
frame53,167.68716577540107,157.78475935828877,155.22860962566844,230.0,255.0,255.0,-0.032968729734420776
frame54,167.67379679144386,157.75401069518716,155.1524064171123,230.0,255.0,255.0,-0.03311508893966675
frame55,167.5668449197861,157.7092245989305,154.9364973262032,230.0,255.0,255.0,-0.03295007348060608
